user_id,course_id,rating,progress_pct,sessions,session_duration,completed
U0001,C014,4.2,100.0,4,52.7,1
U0001,C006,4.0,100.0,7,29.6,1
U0001,C012,5.0,100.0,7,47.0,1
U0001,C019,5.0,100.0,5,31.6,1
U0001,C031,4.1,100.0,2,84.0,1
U0001,C002,5.0,100.0,8,65.1,1
U0001,C018,4.9,100.0,9,27.6,1
U0001,C011,5.0,100.0,3,35.9,1
U0002,C050,4.3,100.0,11,21.2,1
U0002,C009,3.2,69.6,7,53.1,0
U0002,C045,3.2,69.8,5,44.3,0
U0002,C001,4.9,100.0,1,56.7,1
U0002,C026,3.4,39.0,6,89.8,0
U0002,C007,4.4,100.0,10,21.1,1
U0002,C025,4.6,100.0,5,49.5,1
U0002,C010,4.8,100.0,6,70.5,1
U0002,C039,3.6,100.0,4,78.9,1
U0002,C041,5.0,100.0,6,22.2,1
U0002,C049,4.8,100.0,11,22.8,1
U0002,C043,4.1,100.0,11,64.4,1
U0002,C015,3.3,57.7,6,40.8,0
U0002,C019,4.2,100.0,4,57.7,1
U0002,C047,3.3,47.4,11,30.1,0
U0002,C038,4.4,100.0,8,54.3,1
U0002,C040,4.3,100.0,2,85.4,1
U0003,C037,5.0,100.0,8,22.7,1
U0003,C040,4.3,100.0,8,10.3,1
U0003,C041,4.8,100.0,7,67.8,1
U0003,C046,4.3,100.0,10,67.6,1
U0003,C042,5.0,100.0,9,87.8,1
U0004,C035,5.0,100.0,1,57.9,1
U0004,C003,4.8,100.0,7,49.1,1
U0004,C033,3.7,100.0,5,18.9,1
U0004,C037,5.0,100.0,11,39.0,1
U0004,C050,3.4,88.8,9,74.5,0
U0004,C034,4.6,100.0,3,29.2,1
U0004,C031,5.0,100.0,10,29.3,1
U0004,C039,5.0,100.0,1,55.4,1
U0004,C030,5.0,100.0,6,16.3,1
U0004,C041,3.5,100.0,4,68.6,1
U0004,C001,3.9,100.0,11,75.3,1
U0005,C003,3.7,100.0,6,41.9,1
U0005,C028,4.3,100.0,6,63.7,1
U0005,C013,5.0,100.0,4,39.9,1
U0005,C007,4.4,100.0,4,82.0,1
U0005,C024,4.7,100.0,9,46.1,1
U0005,C017,4.0,100.0,9,29.8,1
U0005,C025,2.7,15.1,7,11.7,0
U0006,C033,3.0,53.1,2,67.9,0
U0006,C004,4.8,100.0,11,80.6,1
U0006,C018,4.6,100.0,10,56.1,1
U0006,C012,5.0,100.0,3,29.4,1
U0006,C001,5.0,100.0,5,47.8,1
U0006,C022,4.0,100.0,1,42.6,1
U0006,C010,4.5,100.0,3,17.5,1
U0006,C009,5.0,100.0,6,62.7,1
U0006,C026,3.8,100.0,9,38.3,1
U0006,C005,4.6,100.0,4,42.9,1
U0006,C008,5.0,100.0,2,79.1,1
U0007,C021,4.3,100.0,4,24.7,1
U0007,C002,4.5,100.0,6,47.0,1
U0007,C007,3.8,100.0,3,80.0,1
U0007,C020,3.8,100.0,9,16.0,1
U0007,C014,4.4,100.0,9,74.6,1
U0007,C030,3.6,100.0,5,78.5,1
U0007,C012,4.5,100.0,3,17.8,1
U0007,C024,4.6,100.0,1,62.2,1
U0007,C008,5.0,100.0,1,53.2,1
U0007,C023,3.7,100.0,4,11.2,1
U0007,C027,5.0,100.0,2,17.5,1
U0008,C012,4.3,100.0,5,33.7,1
U0008,C023,4.8,100.0,3,87.5,1
U0008,C007,4.3,100.0,5,56.3,1
U0008,C028,4.2,100.0,4,53.4,1
U0008,C008,4.9,100.0,3,69.8,1
U0008,C024,3.7,100.0,6,14.6,1
U0008,C027,5.0,100.0,1,56.7,1
U0008,C021,5.0,100.0,1,50.2,1
U0008,C030,4.6,100.0,11,78.2,1
U0008,C013,3.3,22.6,6,86.9,0
U0008,C005,5.0,100.0,7,16.4,1
U0009,C045,3.4,59.6,4,43.5,0
U0009,C029,5.0,100.0,7,56.7,1
U0009,C022,4.5,100.0,10,51.8,1
U0009,C034,4.4,100.0,8,84.8,1
U0009,C035,5.0,100.0,9,26.3,1
U0009,C030,4.6,100.0,9,67.3,1
U0009,C042,4.3,100.0,2,29.1,1
U0009,C002,4.1,100.0,11,41.7,1
U0009,C039,4.6,100.0,5,63.7,1
U0009,C033,4.7,100.0,2,34.0,1
U0009,C001,4.1,100.0,8,35.3,1
U0010,C037,4.4,100.0,3,50.5,1
U0010,C036,5.0,100.0,3,20.6,1
U0010,C043,4.2,100.0,7,37.9,1
U0010,C044,4.8,100.0,5,15.5,1
U0010,C004,3.5,100.0,11,29.5,1
U0011,C013,3.8,100.0,5,31.2,1
U0011,C003,5.0,100.0,6,81.2,1
U0011,C028,5.0,100.0,7,69.4,1
U0011,C017,5.0,100.0,5,22.4,1
U0011,C005,4.6,100.0,8,32.5,1
U0011,C021,4.7,100.0,1,26.9,1
U0011,C034,3.3,37.4,10,65.0,0
U0011,C022,4.1,100.0,5,78.2,1
U0012,C048,5.0,100.0,8,10.8,1
U0012,C008,4.8,100.0,6,16.0,1
U0012,C013,5.0,100.0,5,80.6,1
U0012,C036,3.8,100.0,1,82.3,1
U0012,C044,4.8,100.0,3,53.6,1
U0012,C007,4.4,100.0,7,76.8,1
U0012,C040,4.0,100.0,8,56.6,1
U0012,C001,5.0,100.0,3,21.8,1
U0012,C006,4.3,100.0,6,20.2,1
U0012,C023,5.0,100.0,10,34.7,1
U0012,C019,5.0,100.0,3,81.9,1
U0012,C003,4.0,100.0,7,73.7,1
U0012,C020,4.2,100.0,4,78.9,1
U0012,C043,4.9,100.0,6,81.9,1
U0012,C027,4.5,100.0,4,26.8,1
U0012,C017,3.7,100.0,6,30.0,1
U0013,C029,4.5,100.0,5,40.6,1
U0013,C041,5.0,100.0,7,13.1,1
U0013,C050,3.7,100.0,4,47.7,1
U0013,C048,4.4,100.0,8,26.0,1
U0013,C042,4.9,100.0,7,83.5,1
U0013,C038,4.8,100.0,8,38.0,1
U0013,C039,4.9,100.0,10,75.6,1
U0013,C032,4.2,100.0,9,79.7,1
U0013,C036,4.4,100.0,4,27.8,1
U0013,C045,5.0,100.0,5,62.8,1
U0013,C007,2.9,41.9,7,32.3,0
U0013,C040,4.4,100.0,8,15.6,1
U0013,C003,3.7,100.0,7,71.9,1
U0013,C035,4.8,100.0,8,38.1,1
